Ngày giao dịch,Mã sản phẩm,Danh mục sản phẩm,Số lượng bán,Giá bán,Doanh thu
2023-12-28,SP00340,Quần,1,272716,272716
2023-08-13,SP00126,Túi xách,2,1799681,3599362
2023-10-14,SP00168,Váy,7,1358808,9511656
2023-12-10,SP00225,Quần,4,1449450,5797800
2023-10-02,SP00015,Túi xách,2,1380186,2760372
2023-07-27,SP00353,Váy,9,111769,1005921
2023-06-29,SP00188,Đầm,6,211588,1269528
2023-09-01,SP00207,Áo,4,1584546,6338184
2023-11-08,SP00246,Quần,7,990725,6935075
2023-08-15,SP00137,Váy,10,1690068,16900680
2023-01-09,SP00384,Quần,7,1470329,10292303
2023-09-12,SP00056,Mũ,4,724323,2897292
2023-09-13,SP00346,Quần,9,1216885,10951965
2023-10-28,SP00006,Túi xách,3,1942945,5828835
2023-03-20,SP00013,Mũ,2,909732,1819464
2023-05-21,SP00007,Đầm,4,847510,3390040
2023-07-26,SP00128,Váy,1,635337,635337
2023-04-21,SP00169,Mũ,4,646526,2586104
2023-06-20,SP00418,Đầm,10,293747,2937470
2023-08-12,SP00378,Mũ,8,716780,5734240
2023-08-21,SP00301,Phụ kiện,10,1936820,19368200
2023-03-19,SP00278,Giày,5,779289,3896445
2023-02-28,SP00006,Áo,8,1998758,15990064
2023-01-05,SP00413,Váy,3,1790662,5371986
2023-09-25,SP00207,Phụ kiện,6,243547,1461282
2023-01-18,SP00274,Giày,1,1031306,1031306
2023-10-18,SP00217,Giày,8,318861,2550888
2023-11-27,SP00466,Quần,1,1495350,1495350
2023-01-03,SP00245,Mũ,8,1514703,12117624
2023-12-06,SP00363,Giày,1,421950,421950
2023-08-10,SP00347,Phụ kiện,8,1189678,9517424
2023-08-13,SP00301,Váy,6,1841861,11051166
2023-12-22,SP00500,Váy,2,532793,1065586
2023-04-12,SP00282,Giày,10,170944,1709440
2023-09-25,SP00299,Phụ kiện,8,422590,3380720
2023-10-29,SP00024,Phụ kiện,6,619867,3719202
2023-10-21,SP00416,Quần,9,1407609,12668481
2023-07-06,SP00046,Giày,1,1951506,1951506
2023-04-19,SP00435,Quần,9,1598272,14384448
2023-10-30,SP00372,Mũ,3,897600,2692800
2023-12-09,SP00332,Quần,7,1005069,7035483
2023-02-26,SP00023,Mũ,8,811165,6489320
2023-05-25,SP00342,Áo,2,974658,1949316
2023-04-23,SP00013,Quần,8,130202,1041616
2023-08-31,SP00422,Quần,7,252718,1769026
2023-07-14,SP00492,Phụ kiện,2,1990526,3981052
2023-03-02,SP00088,Phụ kiện,2,1040136,2080272
2023-10-29,SP00354,Áo,7,433054,3031378
2023-10-06,SP00328,Túi xách,2,580148,1160296
2023-01-18,SP00110,Váy,7,651357,4559499
2023-04-05,SP00289,Phụ kiện,1,901634,901634
2023-07-06,SP00171,Mũ,9,1331898,11987082
2023-02-18,SP00010,Túi xách,7,1416935,9918545
2023-06-12,SP00286,Đầm,8,1262012,10096096
2023-04-23,SP00076,Mũ,1,181688,181688
2023-12-30,SP00092,Phụ kiện,9,1873420,16860780
2023-06-22,SP00425,Mũ,3,892307,2676921
2023-04-30,SP00477,Mũ,6,516255,3097530
2023-08-09,SP00495,Đầm,7,672548,4707836
2023-10-09,SP00258,Quần,7,1422754,9959278
2023-05-27,SP00235,Túi xách,1,1026788,1026788
2023-08-13,SP00337,Giày,5,724792,3623960
2023-01-28,SP00194,Mũ,7,1235723,8650061
2023-06-06,SP00395,Quần,2,1776855,3553710
2023-12-25,SP00198,Áo,2,203828,407656
2023-12-11,SP00362,Phụ kiện,8,1797778,14382224
2023-08-11,SP00220,Túi xách,8,1731740,13853920
2023-12-16,SP00180,Phụ kiện,7,109875,769125
2023-04-03,SP00248,Phụ kiện,6,1157809,6946854
2023-06-19,SP00031,Giày,6,549295,3295770
2023-05-28,SP00306,Túi xách,3,1234310,3702930
2023-01-25,SP00320,Váy,7,1247989,8735923
2023-01-31,SP00334,Phụ kiện,7,1574794,11023558
2023-10-29,SP00496,Váy,5,1982631,9913155
2023-06-01,SP00427,Túi xách,5,1992523,9962615
2023-02-15,SP00380,Váy,6,496134,2976804
2023-11-16,SP00191,Mũ,2,1419057,2838114
2023-08-02,SP00422,Mũ,2,516000,1032000
2023-11-09,SP00345,Phụ kiện,10,859235,8592350
2023-12-17,SP00464,Phụ kiện,4,564107,2256428
2023-07-30,SP00001,Túi xách,2,660899,1321798
2023-11-27,SP00116,Giày,5,688290,3441450
2023-11-02,SP00122,Phụ kiện,4,317627,1270508
2023-06-06,SP00071,Váy,7,1891458,13240206
2023-07-02,SP00145,Mũ,8,1466034,11728272
2023-10-28,SP00404,Mũ,2,1777381,3554762
2023-08-28,SP00053,Áo,9,232071,2088639
2023-07-13,SP00368,Váy,9,323576,2912184
2023-03-31,SP00338,Mũ,5,425946,2129730
2023-02-10,SP00390,Váy,7,1112383,7786681
2023-11-06,SP00075,Áo,3,134837,404511
2023-09-07,SP00051,Đầm,2,1759778,3519556
2023-08-11,SP00045,Váy,8,1004425,8035400
2023-01-29,SP00178,Quần,8,1860563,14884504
2023-02-08,SP00275,Váy,2,1891139,3782278
2023-02-11,SP00029,Giày,2,539853,1079706
2023-09-07,SP00227,Mũ,9,1830090,16470810
2023-06-25,SP00436,Áo,1,926064,926064
2023-03-17,SP00248,Mũ,8,1943053,15544424
2023-12-26,SP00390,Túi xách,5,718606,3593030
2023-03-27,SP00181,Đầm,5,306684,1533420
2023-12-12,SP00319,Quần,1,105492,105492
2023-04-02,SP00339,Túi xách,10,685602,6856020
2023-11-13,SP00110,Phụ kiện,1,1096925,1096925
2023-08-03,SP00458,Áo,6,1038946,6233676
2023-01-07,SP00464,Giày,7,1012373,7086611
2023-09-02,SP00073,Quần,2,225371,450742
2023-08-13,SP00500,Túi xách,8,1175454,9403632
2023-07-13,SP00117,Đầm,8,247624,1980992
2023-10-14,SP00105,Áo,3,568997,1706991
2023-05-07,SP00010,Mũ,3,720251,2160753
2023-01-21,SP00056,Áo,1,1055945,1055945
2023-04-27,SP00225,Váy,3,1101433,3304299
2023-03-28,SP00011,Áo,8,1899022,15192176
2023-11-15,SP00182,Áo,9,420059,3780531
2023-07-29,SP00218,Phụ kiện,1,1731173,1731173
2023-06-24,SP00357,Giày,6,195875,1175250
2023-02-23,SP00058,Váy,6,1549791,9298746
2023-05-18,SP00379,Phụ kiện,8,497549,3980392
2023-04-17,SP00018,Túi xách,3,758563,2275689
2023-08-20,SP00067,Quần,3,771464,2314392
2023-09-15,SP00423,Giày,5,1215397,6076985
2023-01-27,SP00081,Váy,10,1376224,13762240
2023-12-29,SP00095,Áo,10,866847,8668470
2023-03-31,SP00069,Áo,7,1161998,8133986
2023-05-26,SP00266,Váy,4,1502215,6008860
2023-03-04,SP00108,Phụ kiện,4,1344304,5377216
2023-01-05,SP00449,Áo,7,586856,4107992
2024-01-01,SP00050,Đầm,3,689015,2067045
2023-08-02,SP00013,Mũ,4,1426751,5707004
2023-02-26,SP00426,Phụ kiện,3,682873,2048619
2023-08-15,SP00194,Quần,7,958053,6706371
2023-10-20,SP00477,Váy,8,1342692,10741536
2023-05-19,SP00303,Váy,1,1567888,1567888
2023-09-01,SP00488,Túi xách,3,1584062,4752186
2023-07-26,SP00069,Váy,6,1901235,11407410
2023-04-11,SP00241,Váy,8,354614,2836912
2023-04-02,SP00497,Mũ,9,394911,3554199
2023-08-22,SP00342,Giày,1,1395489,1395489
2023-11-22,SP00413,Áo,8,239136,1913088
2023-09-20,SP00267,Quần,4,744885,2979540
2023-07-25,SP00161,Đầm,1,1070696,1070696
2023-10-07,SP00249,Quần,3,361687,1085061
2023-01-05,SP00155,Váy,6,1267762,7606572
2023-09-04,SP00158,Túi xách,10,728098,7280980
2023-05-14,SP00087,Váy,10,513650,5136500
2023-09-14,SP00173,Váy,7,176124,1232868
2023-10-05,SP00267,Phụ kiện,3,103261,309783
2023-12-23,SP00332,Mũ,7,1183237,8282659
2023-07-20,SP00244,Mũ,8,1956039,15648312
2023-01-22,SP00380,Váy,9,613934,5525406
2023-08-28,SP00378,Váy,6,1024598,6147588
2023-10-09,SP00045,Giày,3,1678527,5035581
2023-05-16,SP00491,Váy,3,794939,2384817
2023-12-10,SP00382,Áo,4,531825,2127300
2023-02-21,SP00041,Đầm,10,1938320,19383200
2023-11-15,SP00391,Áo,8,1730142,13841136
2023-08-16,SP00189,Túi xách,2,280242,560484
2023-10-21,SP00401,Giày,8,507328,4058624
2023-04-12,SP00014,Túi xách,3,1858843,5576529
2023-03-15,SP00017,Giày,2,315691,631382
2023-01-23,SP00180,Giày,5,1274054,6370270
2023-05-27,SP00287,Đầm,3,810337,2431011
2023-05-25,SP00357,Áo,5,1506631,7533155
2023-12-01,SP00463,Đầm,10,580051,5800510
2023-10-23,SP00264,Áo,2,398745,797490
2023-07-08,SP00379,Túi xách,6,1493882,8963292
2023-03-21,SP00038,Váy,1,1987315,1987315
2023-01-05,SP00121,Giày,7,649837,4548859
2023-12-07,SP00217,Túi xách,2,1370363,2740726
2023-10-29,SP00138,Đầm,6,1539894,9239364
2023-02-17,SP00320,Váy,4,1607234,6428936
2023-05-05,SP00468,Giày,6,1154810,6928860
2023-04-16,SP00168,Phụ kiện,1,1115969,1115969
2023-06-29,SP00325,Quần,7,590224,4131568
2023-10-11,SP00055,Phụ kiện,4,1262183,5048732
2023-02-09,SP00413,Giày,10,806605,8066050
2023-06-19,SP00185,Quần,1,1104269,1104269
2023-01-30,SP00490,Phụ kiện,9,1666928,15002352
2023-09-07,SP00459,Mũ,7,1802170,12615190
2023-09-29,SP00138,Túi xách,10,167094,1670940
2023-03-30,SP00090,Váy,3,1497315,4491945
2023-09-27,SP00132,Túi xách,2,1758043,3516086
2023-11-03,SP00225,Áo,3,647666,1942998
2023-04-23,SP00047,Quần,10,1415729,14157290
2023-09-21,SP00168,Mũ,10,399733,3997330
2023-08-08,SP00053,Đầm,8,1537670,12301360
2023-12-23,SP00027,Mũ,4,1076787,4307148
2023-01-16,SP00385,Váy,7,257338,1801366
2023-02-01,SP00174,Quần,5,1449256,7246280
2023-07-28,SP00076,Quần,8,1617932,12943456
2023-12-03,SP00496,Giày,7,1584453,11091171
2023-05-20,SP00197,Đầm,7,1389069,9723483
2023-10-29,SP00435,Túi xách,4,525071,2100284
2023-03-02,SP00307,Túi xách,2,1162895,2325790
2023-11-17,SP00074,Đầm,3,426982,1280946
2023-03-05,SP00065,Mũ,3,1803831,5411493
2023-04-24,SP00264,Váy,9,153978,1385802
2023-08-16,SP00017,Phụ kiện,1,782948,782948
2023-11-27,SP00097,Đầm,3,816624,2449872
2023-10-01,SP00484,Đầm,4,874133,3496532
2023-01-05,SP00446,Giày,5,1694548,8472740
2023-08-15,SP00402,Túi xách,5,1582179,7910895
2023-09-30,SP00072,Túi xách,2,733319,1466638
2023-03-18,SP00252,Túi xách,10,574994,5749940
2023-05-25,SP00319,Giày,3,819117,2457351
2023-08-10,SP00101,Đầm,9,413654,3722886
2023-12-29,SP00211,Quần,5,662508,3312540
2023-10-18,SP00129,Giày,9,1844011,16596099
2023-08-08,SP00403,Túi xách,5,1028964,5144820
2023-08-03,SP00111,Phụ kiện,8,686599,5492792
2023-01-31,SP00499,Đầm,9,1135252,10217268
2023-07-14,SP00158,Váy,4,228295,913180
2023-02-14,SP00465,Phụ kiện,1,1970012,1970012
2023-10-14,SP00417,Đầm,5,1677222,8386110
2023-02-23,SP00243,Quần,6,497674,2986044
2023-01-24,SP00312,Phụ kiện,2,746815,1493630
2023-06-12,SP00454,Đầm,5,1879006,9395030
2023-08-15,SP00005,Đầm,3,856414,2569242
2023-07-02,SP00085,Giày,8,126635,1013080
2023-02-08,SP00116,Quần,2,1306752,2613504
2023-06-15,SP00460,Váy,6,1738353,10430118
2023-01-01,SP00392,Phụ kiện,2,1449262,2898524
2023-01-04,SP00192,Quần,1,1626372,1626372
2023-06-14,SP00130,Đầm,1,696784,696784
2023-06-29,SP00167,Túi xách,7,933394,6533758
2023-02-15,SP00383,Áo,4,1413183,5652732
2023-01-03,SP00330,Áo,3,229832,689496
2023-02-01,SP00354,Váy,6,502167,3013002
2023-05-21,SP00481,Quần,5,535081,2675405
2023-11-11,SP00238,Váy,7,1753336,12273352
2023-12-26,SP00152,Mũ,7,424165,2969155
2023-05-24,SP00137,Mũ,7,654242,4579694
2023-03-21,SP00475,Phụ kiện,10,897054,8970540
2023-02-20,SP00216,Váy,6,1799844,10799064
2023-12-04,SP00142,Váy,1,174424,174424
2023-01-15,SP00137,Phụ kiện,4,957744,3830976
2023-11-22,SP00340,Áo,7,413373,2893611
2023-08-06,SP00286,Váy,5,1669567,8347835
2023-08-15,SP00406,Túi xách,2,966343,1932686
2023-06-17,SP00481,Váy,5,1225348,6126740
2023-04-19,SP00056,Túi xách,6,1136553,6819318
2023-08-31,SP00139,Phụ kiện,9,1565862,14092758
2023-04-17,SP00430,Váy,4,564291,2257164
2023-05-08,SP00239,Đầm,1,299836,299836
2023-04-02,SP00009,Đầm,9,1684326,15158934
2023-05-17,SP00290,Phụ kiện,3,1915103,5745309
2023-05-04,SP00041,Áo,9,1284255,11558295
2023-02-07,SP00295,Áo,6,1157664,6945984
2023-02-19,SP00059,Áo,2,1117858,2235716
2023-02-01,SP00494,Quần,4,1231044,4924176
2023-12-28,SP00119,Túi xách,7,1034234,7239638
2023-08-31,SP00204,Váy,6,968248,5809488
2023-08-05,SP00419,Áo,9,1068216,9613944
2023-08-08,SP00101,Mũ,10,1470792,14707920
2023-02-19,SP00379,Phụ kiện,2,565796,1131592
2023-09-09,SP00264,Mũ,6,704269,4225614
2023-01-21,SP00434,Mũ,9,1836677,16530093
2023-01-30,SP00043,Quần,9,469603,4226427
2023-10-27,SP00436,Đầm,5,1158310,5791550
2023-06-17,SP00296,Đầm,1,1412860,1412860
2023-05-15,SP00482,Mũ,2,381822,763644
2023-04-07,SP00110,Túi xách,9,1825486,16429374
2023-09-21,SP00342,Đầm,10,1672136,16721360
2023-02-10,SP00201,Quần,7,345782,2420474
2023-09-26,SP00256,Phụ kiện,4,950270,3801080
2023-07-03,SP00193,Váy,3,1590273,4770819
2023-08-21,SP00024,Áo,3,352954,1058862
2023-11-23,SP00110,Túi xách,5,261674,1308370
2023-10-05,SP00159,Túi xách,8,1728618,13828944
2023-06-09,SP00173,Áo,7,1198809,8391663
2023-06-19,SP00251,Phụ kiện,10,1528634,15286340
2023-05-11,SP00016,Áo,5,1578751,7893755
2023-11-05,SP00458,Váy,4,1453412,5813648
2023-06-17,SP00367,Váy,4,991459,3965836
2023-01-23,SP00366,Phụ kiện,6,1985976,11915856
2023-04-14,SP00050,Quần,9,443663,3992967
2023-02-23,SP00229,Giày,10,572140,5721400
2023-10-12,SP00195,Túi xách,3,940649,2821947
2023-04-01,SP00367,Áo,1,233917,233917
2023-08-14,SP00479,Quần,4,144990,579960
2023-02-01,SP00318,Váy,6,210189,1261134
2023-05-10,SP00115,Phụ kiện,8,1749594,13996752
2023-07-17,SP00402,Túi xách,4,1072177,4288708
2023-07-24,SP00074,Phụ kiện,9,983932,8855388
2023-12-30,SP00420,Váy,6,1703915,10223490
2023-11-24,SP00416,Giày,5,1770008,8850040
2023-02-23,SP00222,Mũ,8,446646,3573168
2023-08-11,SP00040,Phụ kiện,9,1472161,13249449
2023-03-16,SP00246,Túi xách,3,120111,360333
2023-06-18,SP00176,Quần,6,965598,5793588
2023-12-04,SP00153,Giày,4,708912,2835648
2023-02-13,SP00393,Váy,4,189824,759296
2023-08-13,SP00188,Áo,4,1885049,7540196
2023-03-18,SP00118,Phụ kiện,10,1955525,19555250
2023-03-28,SP00161,Mũ,9,1457021,13113189
2023-04-24,SP00361,Áo,2,986813,1973626
2023-10-23,SP00193,Váy,10,608144,6081440
2023-07-06,SP00390,Giày,3,172231,516693
2023-07-10,SP00113,Đầm,2,1338628,2677256
2023-12-18,SP00270,Phụ kiện,1,502476,502476
2023-04-22,SP00189,Giày,3,1001422,3004266
2023-05-05,SP00195,Túi xách,1,407241,407241
2023-07-03,SP00343,Đầm,3,1803962,5411886
2023-10-26,SP00289,Mũ,1,1225643,1225643
2023-05-08,SP00432,Váy,2,1629854,3259708
2023-11-08,SP00397,Mũ,3,454551,1363653
2023-03-08,SP00119,Đầm,3,1779069,5337207
2023-07-07,SP00223,Giày,5,1724243,8621215
2023-07-01,SP00316,Váy,10,800938,8009380
2023-12-09,SP00192,Đầm,8,1782433,14259464
2023-07-08,SP00424,Túi xách,7,1392065,9744455
2023-01-10,SP00103,Phụ kiện,1,1457790,1457790
2023-12-07,SP00149,Quần,7,916589,6416123
2023-02-03,SP00339,Túi xách,6,1647321,9883926
2023-05-10,SP00459,Túi xách,2,1011330,2022660
2023-04-08,SP00132,Túi xách,3,194077,582231
2023-07-05,SP00014,Giày,1,1824245,1824245
2023-09-25,SP00434,Túi xách,1,862419,862419
2023-04-20,SP00236,Mũ,4,1225344,4901376
2023-08-02,SP00481,Phụ kiện,2,737130,1474260
2023-08-21,SP00115,Phụ kiện,4,283787,1135148
2023-11-11,SP00035,Đầm,6,1928126,11568756
2023-11-21,SP00064,Giày,3,1357851,4073553
2023-06-16,SP00444,Váy,4,1160527,4642108
2023-05-26,SP00068,Quần,8,985895,7887160
2023-11-25,SP00448,Giày,5,1704619,8523095
2023-05-31,SP00215,Áo,8,180912,1447296
2023-07-14,SP00385,Mũ,4,1646864,6587456
2023-11-02,SP00250,Quần,10,977709,9777090
2023-11-06,SP00037,Phụ kiện,6,556881,3341286
2023-05-16,SP00370,Quần,2,1338353,2676706
2023-01-01,SP00437,Giày,2,1622211,3244422
2023-09-20,SP00242,Giày,6,363664,2181984
2023-02-10,SP00287,Quần,6,1654384,9926304
2023-11-12,SP00349,Giày,8,500721,4005768
2023-07-15,SP00167,Mũ,2,1870499,3740998
2023-08-31,SP00377,Đầm,1,1377883,1377883
2023-11-16,SP00277,Quần,9,177935,1601415
2023-03-23,SP00274,Quần,5,1540216,7701080
2023-08-11,SP00301,Phụ kiện,4,307331,1229324
2023-09-16,SP00228,Túi xách,2,928249,1856498
2023-06-03,SP00419,Đầm,6,1800740,10804440
2023-12-19,SP00221,Mũ,8,1912562,15300496
2023-07-10,SP00143,Túi xách,7,1622581,11358067
2023-10-29,SP00256,Áo,8,1122491,8979928
2023-07-18,SP00039,Phụ kiện,5,1174777,5873885
2023-11-26,SP00272,Quần,3,1975206,5925618
2023-05-30,SP00355,Đầm,9,1460095,13140855
2023-08-26,SP00063,Giày,10,977472,9774720
2023-06-26,SP00408,Mũ,3,1747176,5241528
2023-08-16,SP00059,Túi xách,5,513912,2569560
2023-10-16,SP00367,Đầm,9,1422245,12800205
2023-07-27,SP00159,Đầm,8,1954094,15632752
2023-06-02,SP00171,Áo,7,925510,6478570
2023-12-31,SP00383,Giày,1,881471,881471
2023-02-09,SP00290,Váy,5,1518794,7593970
2023-07-03,SP00112,Mũ,1,631782,631782
2023-03-12,SP00490,Giày,7,1991313,13939191
2023-03-01,SP00350,Đầm,9,1766325,15896925
2023-11-12,SP00079,Túi xách,3,438648,1315944
2023-07-28,SP00007,Quần,5,735625,3678125
2023-01-08,SP00135,Quần,6,1356013,8136078
2023-05-30,SP00325,Váy,7,1668920,11682440
2023-04-22,SP00173,Đầm,4,1009960,4039840
2023-07-17,SP00299,Váy,7,505328,3537296
2023-11-18,SP00437,Đầm,5,1122930,5614650
2023-09-25,SP00212,Quần,5,150116,750580
2023-03-17,SP00314,Mũ,1,875197,875197
2023-11-25,SP00199,Mũ,10,1868330,18683300
2023-06-27,SP00055,Quần,6,1271217,7627302
2023-04-24,SP00387,Phụ kiện,7,1528051,10696357
2023-12-19,SP00450,Mũ,6,1890501,11343006
2023-02-28,SP00376,Đầm,10,219513,2195130
2023-01-13,SP00361,Phụ kiện,8,1452967,11623736
2023-02-23,SP00083,Đầm,1,600334,600334
2023-04-14,SP00466,Phụ kiện,8,1209039,9672312
2023-06-16,SP00136,Giày,3,638049,1914147
2023-02-09,SP00301,Đầm,9,888002,7992018
2023-08-11,SP00233,Áo,8,1226092,9808736
2023-11-14,SP00160,Váy,3,1344237,4032711
2023-10-16,SP00409,Mũ,10,1925428,19254280
2023-10-15,SP00052,Váy,10,1461032,14610320
2023-05-30,SP00283,Phụ kiện,4,1599428,6397712
2023-10-01,SP00234,Túi xách,9,880906,7928154
2023-04-10,SP00096,Quần,2,847342,1694684
2023-12-29,SP00065,Giày,2,1692272,3384544
2023-12-03,SP00237,Áo,2,1357084,2714168
2023-01-02,SP00015,Áo,4,803944,3215776
2023-09-02,SP00473,Váy,2,826561,1653122
2023-06-18,SP00249,Phụ kiện,4,978817,3915268
2023-07-30,SP00475,Quần,4,1673339,6693356
2023-06-16,SP00039,Váy,8,1063575,8508600
2023-06-04,SP00114,Đầm,10,926081,9260810
2023-12-29,SP00386,Quần,8,1716176,13729408
2023-05-27,SP00137,Mũ,1,1127577,1127577
2023-07-18,SP00089,Túi xách,4,670841,2683364
2023-07-31,SP00400,Phụ kiện,1,1935605,1935605
2023-10-14,SP00202,Váy,6,957566,5745396
2023-05-25,SP00276,Giày,8,276033,2208264
2023-12-15,SP00202,Áo,3,1684787,5054361
2023-04-22,SP00092,Phụ kiện,7,1943049,13601343
2023-10-31,SP00126,Phụ kiện,3,213224,639672
2023-05-22,SP00052,Túi xách,9,1332695,11994255
2023-03-11,SP00052,Giày,5,1204702,6023510
2023-07-31,SP00025,Giày,4,1667435,6669740
2023-10-22,SP00201,Váy,8,1617096,12936768
2023-08-21,SP00309,Quần,3,431532,1294596
2023-06-24,SP00168,Váy,6,1244095,7464570
2023-05-12,SP00218,Giày,9,1585269,14267421
2023-08-07,SP00412,Váy,7,1470179,10291253
2023-02-11,SP00077,Áo,7,136987,958909
2023-04-25,SP00134,Đầm,8,1205946,9647568
2023-03-25,SP00025,Mũ,6,1883221,11299326
2023-11-08,SP00302,Quần,4,1065277,4261108
2023-10-16,SP00155,Túi xách,8,781649,6253192
2023-09-25,SP00109,Quần,3,160120,480360
2023-03-21,SP00091,Quần,4,1089760,4359040
2023-07-07,SP00181,Váy,2,1705625,3411250
2023-11-10,SP00423,Phụ kiện,3,272921,818763
2023-10-15,SP00039,Áo,1,155239,155239
2023-05-29,SP00401,Phụ kiện,1,128139,128139
2023-03-20,SP00129,Đầm,3,676145,2028435
2023-07-17,SP00404,Đầm,7,321468,2250276
2023-11-28,SP00412,Túi xách,4,185635,742540
2023-02-14,SP00160,Mũ,1,1811443,1811443
2023-10-26,SP00220,Phụ kiện,9,1657767,14919903
2023-06-20,SP00399,Mũ,9,838580,7547220
2023-09-21,SP00483,Mũ,8,142403,1139224
2023-10-13,SP00406,Áo,2,327818,655636
2023-11-25,SP00087,Đầm,10,803041,8030410
2023-09-09,SP00224,Mũ,4,135950,543800
2023-12-02,SP00352,Váy,1,143367,143367
2023-07-12,SP00251,Giày,10,841500,8415000
2023-10-19,SP00298,Giày,8,1817185,14537480
2023-04-05,SP00255,Áo,6,721825,4330950
2023-08-16,SP00435,Phụ kiện,5,495247,2476235
2023-12-08,SP00131,Giày,9,375025,3375225
2023-08-17,SP00240,Áo,10,499360,4993600
2023-06-14,SP00427,Túi xách,5,1155290,5776450
2023-10-13,SP00085,Đầm,8,902422,7219376
2023-01-08,SP00073,Quần,7,1540880,10786160
2023-09-18,SP00047,Váy,3,1537592,4612776
2023-02-11,SP00265,Đầm,10,382792,3827920
2023-12-16,SP00368,Quần,1,671653,671653
2023-07-06,SP00023,Túi xách,8,1550926,12407408
2023-06-20,SP00248,Áo,7,329470,2306290
2023-06-17,SP00138,Giày,2,1778598,3557196
2023-05-11,SP00451,Quần,7,622555,4357885
2023-08-25,SP00285,Quần,1,736908,736908
2023-01-02,SP00193,Đầm,6,447957,2687742
2023-10-27,SP00204,Áo,6,1223001,7338006
2023-12-10,SP00052,Đầm,5,660741,3303705
2023-03-22,SP00424,Giày,5,1925971,9629855
2023-02-09,SP00207,Mũ,4,1611317,6445268
2023-11-23,SP00202,Giày,7,973173,6812211
2023-12-23,SP00367,Túi xách,3,126611,379833
2023-12-29,SP00426,Túi xách,2,1491422,2982844
2023-05-24,SP00418,Phụ kiện,7,979389,6855723
2023-05-10,SP00062,Áo,3,1625182,4875546
2023-07-22,SP00272,Đầm,4,1523605,6094420
2023-12-01,SP00433,Túi xách,8,1871870,14974960
2023-02-03,SP00028,Áo,8,1522193,12177544
2023-12-30,SP00119,Túi xách,4,790069,3160276
2023-07-28,SP00209,Váy,9,1506988,13562892
2023-09-20,SP00140,Váy,1,1732092,1732092
2023-05-14,SP00460,Áo,7,419140,2933980
2023-09-09,SP00423,Mũ,7,1244036,8708252
2023-05-20,SP00149,Quần,8,941899,7535192
2023-02-10,SP00090,Phụ kiện,4,1799768,7199072
2023-11-27,SP00127,Giày,2,693460,1386920
2023-08-23,SP00390,Túi xách,6,1392762,8356572
2023-04-20,SP00446,Đầm,10,964219,9642190
2023-07-27,SP00021,Áo,7,293351,2053457
2023-11-19,SP00437,Túi xách,6,1206607,7239642
2023-04-28,SP00038,Phụ kiện,6,473278,2839668
2023-07-28,SP00349,Đầm,2,380364,760728
2023-12-23,SP00210,Giày,5,666177,3330885
2023-02-07,SP00011,Phụ kiện,5,1578005,7890025
2023-09-09,SP00421,Giày,1,353916,353916
2023-08-14,SP00285,Đầm,10,769003,7690030
2023-05-22,SP00093,Mũ,6,288005,1728030
2023-03-06,SP00466,Phụ kiện,7,476342,3334394
2023-02-04,SP00411,Váy,8,1575426,12603408
2023-07-06,SP00176,Áo,4,1856798,7427192
2023-07-08,SP00369,Mũ,4,1248841,4995364
2023-07-16,SP00012,Phụ kiện,4,1756294,7025176
2023-02-09,SP00177,Áo,10,1330751,13307510
2023-08-30,SP00364,Đầm,7,998218,6987526
2023-11-27,SP00430,Quần,6,342607,2055642
2023-10-17,SP00111,Đầm,5,1226487,6132435
2023-08-17,SP00404,Đầm,9,1724134,15517206
2023-06-10,SP00075,Mũ,7,1776056,12432392
2023-07-14,SP00190,Phụ kiện,3,636269,1908807
2023-06-04,SP00476,Áo,7,1719744,12038208
2023-02-06,SP00134,Túi xách,10,1006945,10069450
2023-01-15,SP00243,Áo,6,1315873,7895238
2023-04-05,SP00499,Váy,9,1515449,13639041
2023-10-04,SP00141,Túi xách,9,1891937,17027433
2023-01-04,SP00259,Áo,5,1429099,7145495
2023-06-17,SP00455,Mũ,2,165241,330482
2023-11-25,SP00457,Váy,7,1659038,11613266
2023-12-26,SP00176,Giày,1,1504652,1504652
2023-09-26,SP00386,Đầm,4,1665413,6661652
2023-04-15,SP00226,Đầm,6,1758139,10548834
2023-10-27,SP00436,Mũ,1,1999091,1999091
2023-03-21,SP00216,Áo,8,955982,7647856
2023-08-13,SP00104,Giày,5,582016,2910080
2023-07-16,SP00262,Quần,8,1339475,10715800
2023-05-22,SP00061,Túi xách,8,1915036,15320288
2023-05-02,SP00021,Áo,4,1931110,7724440
2023-04-25,SP00453,Phụ kiện,8,935743,7485944
2023-09-29,SP00462,Đầm,3,1619005,4857015
2023-11-28,SP00419,Phụ kiện,10,788710,7887100
2023-09-15,SP00400,Đầm,8,1088418,8707344
2023-04-23,SP00279,Váy,3,921374,2764122
2023-04-20,SP00188,Váy,4,290810,1163240
2023-07-11,SP00249,Đầm,1,1724948,1724948
2023-09-17,SP00094,Mũ,3,1085342,3256026
2023-10-01,SP00148,Giày,8,1901538,15212304
2023-01-12,SP00334,Đầm,3,1342386,4027158
2023-07-08,SP00306,Giày,2,129625,259250
2023-11-13,SP00019,Phụ kiện,2,429294,858588
2023-08-04,SP00063,Giày,9,678436,6105924
2023-08-09,SP00175,Đầm,7,978453,6849171
2023-05-26,SP00183,Túi xách,5,1889420,9447100
2023-03-15,SP00326,Áo,4,1516810,6067240
